,dob,workclass
20139,18/04/1964,private
21981,09/06/1988,private
18697,26/03/1968,private
29690,26/11/1962,private
5649,20/09/1991,private
18851,27/02/1976,private
17759,30/05/1967,notworking
5143,23/03/1968,selfempnotinc
1291,14/06/1996,private
11316,20/09/2002,private
2573,25/08/1991,private
1332,13/04/1962,selfempnotinc
6385,03/07/1994,private
21016,07/02/1962,private
12197,06/01/1987,private
9055,13/11/2003,notworking
8766,14/05/1973,federalgov
5554,03/07/1971,private
30208,26/03/1981,private
27589,19/09/1970,private
27637,01/05/1974,selfempinc
29190,14/01/1976,private
8961,23/04/1996,private
315,13/01/1997,private
24536,18/01/1990,private
18060,28/11/2000,private
21872,25/05/2004,private
19746,27/10/1986,localgov
13976,04/02/1967,federalgov
6100,23/05/1976,private
9758,17/08/1972,selfempnotinc
18853,30/05/1974,private
9191,26/09/1984,private
18206,21/03/1989,private
3567,28/08/1996,private
27425,25/09/1973,private
22534,16/08/1996,private
5212,24/08/1984,private
4883,04/01/1967,private
7040,30/06/1972,selfempnotinc
31274,27/06/1981,private
9931,19/06/1977,private
23750,13/08/1968,stategov
9710,22/01/1988,private
32550,21/01/1978,stategov
29465,04/12/1999,private
21742,31/05/2001,private
15148,20/03/1981,private
5578,06/02/1976,private
5245,28/03/1971,private
